id,word,normalized_word,part_of_speech,countability,zh_definition,en_definition,examples_json,suggested_chinese,translation_sense,source_languages,match_score,direct_score,matching_gloss_score,score_margin,source_line,source,license
8333,dark,dark,adjective,,黑暗,Having an absolute or (more often) relative lack of light.,"[{""english"": ""All cats are grey in the dark."", ""chinese"": ""猫在黑暗中都是灰色的。""}]",黑暗；黲,having an absolute or relative lack of light,Chinese Mandarin,1.0467,0.9667,1.0000,1.0467,8738,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
68029,island,island,noun,C,島；島嶼,an area of land completely surrounded by water,"[{""english"": ""They live on a small island."", ""chinese"": ""他們住在一個小島上。""}]",島；島嶼；海島,area of land completely surrounded by water,Chinese | Chinese Mandarin,0.9899,0.9899,0.4784,0.9899,3719,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
13597,godlike,godlike,adjective,,似神,Having the characteristics of a god.,[],似神,having characteristics of a god,Chinese,0.8868,0.8068,1.0000,0.8868,22612,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
18601,luang namtha,luang namtha,proper noun,,瑯南塔,A province in northern Laos.,[],瑯南塔,province of Laos,Chinese Mandarin,0.7560,0.6760,1.0000,0.3625,1286649,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
3187,belfry,belfry,noun,C,鐘樓,"(architecture) A tower or steeple typically containing bells, especially as part of a church.",[],鐘樓,"tower or steeple specifically for containing bells, especially as part of a church",Chinese Mandarin,0.7541,0.6741,0.8889,0.7541,111056,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
28308,skin,skin,noun,C or U,皮膚,"The outer protective layer of the body of any animal, including of a human.","[{""english"": ""This medicine will cure you of your skin disease."", ""chinese"": ""這藥可以治療你的皮膚病。""}]",皮；皮子；皮膚,outer protective layer of the body of a person or animal,Chinese | Chinese Mandarin,0.7186,0.6386,1.0000,0.7186,14068,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
30561,syvaske,syvaske,proper noun,,錫瓦斯凱,"A rural settlement in Novotroitske settlement hromada, Henichesk Raion, Kherson Oblast, Ukraine, founded in 1816.",[],錫瓦什斯科耶；錫瓦斯凱,"rural settlement in Novotroitske, Henichesk, Kherson, Ukraine",Chinese Mandarin,0.7161,0.6361,1.0000,0.7161,1429651,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
31307,this,this,determiner,,这,The known (thing) (used in indicating something or someone just mentioned).,"[{""english"": ""This is never going to end."", ""chinese"": ""这将永远继续下去。""}]",這,known (thing) just mentioned,Chinese Mandarin,0.7092,0.6292,1.0000,0.3435,3380,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
4669,bury,bury,verb,T,下葬,To ritualistically inter in a grave or tomb.,[],下葬；埋；埋葬,to inter a corpse in a grave or tomb,Chinese Mandarin,0.7051,0.6251,1.0000,0.7051,16750,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
34464,yakovenkove,yakovenkove,proper noun,,亞科文科韋,"A village in Balakliia urban hromada, Izium Raion, Kharkiv Oblast, Ukraine.",[],亞科文科韋,"village in Balakliia, Izium, Kharkiv, Ukraine",Chinese Mandarin,0.6919,0.6119,1.0000,0.6919,1395501,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
