id,word,normalized_word,part_of_speech,countability,zh_definition,en_definition,examples_json,chinese_terms,cedict_gloss_tokens,english_content_tokens,shared_tokens,semantic_reasons,priority
66445,a,a,article,,一個；一名（不定冠詞）,used before a singular noun to refer to one person or thing that is not already known,"[{""english"": ""She bought a new dictionary."", ""chinese"": ""她買了一本新字典。""}]",一個 | 不定冠詞,afternoon | article | english | indefinite | summer | vacation | whole,already | before | known | noun | person | refer | singular | thing,,no_lexical_support_in_cedict_gloss,review
8,a few,a few,determiner,,一些,"A small number of (a set of countable items); more than one but not very many; especially, more than two but not very many (explained in usage note at several).",[],一些,adjective | following | little | slightly | some,countable | explained | items | many | note | number | several | small | than | usage,,no_lexical_support_in_cedict_gloss,review
9,a few,a few,pronoun,,一些,A small number of things.,[],一些,adjective | following | little | slightly | some,number | small | things,,no_lexical_support_in_cedict_gloss,review
12,a little,a little,adverb,,點兒,To a small extent or degree.,"[{""english"": ""I'm a little fat."", ""chinese"": ""我有點兒胖。""}]",點兒,dian | erhua | variant,degree | extent | little | small,,no_lexical_support_in_cedict_gloss,review
23,a.m.,a.m.,adverb,,上午,(used after the hour) In the 12-hour period from midnight to noon (the first half of the day) when using the 12-hour clock.,[],上午,morning,clock | first | half | hour | midnight | noon | period,,no_lexical_support_in_cedict_gloss,review
31,aback,aback,adverb,,后边,"(nautical) Backward against the mast; said of the sails when pressed by the wind from the ""wrong"" (forward) side, or of a ship when its sails are set that way. [First attested in the late 17th century.]",[],後邊,afterwards | back | behind | last | later | near | rear,aback | against | attested | backward | century | first | forward | late | mast | nautical | pressed | said | sails | ship | side | wind | wrong,,no_lexical_support_in_cedict_gloss,review
40,abasement,abasement,noun,C or U,羞辱,"The act of abasing, humbling, or bringing low. [Mid 16th century.]",[],羞辱,humiliate | humiliation | indignity | shame,abasement | abasing | bringing | century | humbling,,no_lexical_support_in_cedict_gloss,review
66447,abate,abate,verb,I,減弱；減退,"to become less strong, severe, or intense","[{""english"": ""The storm finally began to abate."", ""chinese"": ""暴風雨終於開始減弱。""}]",減弱 | 減退,decline | diminish | down | weaken,abate | become | intense | less | severe | strong,,no_lexical_support_in_cedict_gloss,review
66448,abate,abate,verb,T,減少；降低,"to make something less strong, severe, or intense","[{""english"": ""The medicine helped abate the pain."", ""chinese"": ""藥物有助減輕痛楚。""}]",減少 | 降低,bring | decrease | down | lessen | lower | reduce,abate | intense | less | make | severe | strong,,no_lexical_support_in_cedict_gloss,review
46,abatement,abatement,noun,C or U,推理,An amount abated; that which is taken away by way of reduction; deduction; decrease; a rebate or discount allowed; in particular from a tax. [Late 15th century.],[],推理,deduce | infer | inference | reasoning,abated | abatement | allowed | amount | away | century | decrease | deduction | discount | late | particular | rebate | reduction | taken,,no_lexical_support_in_cedict_gloss,review
48,abbacy,abbacy,noun,C,修道院,"The dignity, estate, term, or jurisdiction of an abbot or abbess. [First attested around 1350 to 1470.]",[],修道院,convent | monastery,abbacy | abbess | abbot | around | attested | dignity | estate | first | jurisdiction | term,,no_lexical_support_in_cedict_gloss,review
52,abbeystead,abbeystead,noun,C,修道院,(archaic) The seat of an abbey.,[],修道院,convent | monastery,abbey | abbeystead | archaic | seat,,no_lexical_support_in_cedict_gloss,review
58,abbreviature,abbreviature,noun,C or U,縮寫,An abridgment; a compendium; an abstract. [since the late 16th century],[],縮寫,abbreviation | abridge,abbreviature | abridgment | abstract | century | compendium | late | since,,no_lexical_support_in_cedict_gloss,review
61,abc,abc,noun,C or U,字母表,The fundamentals of any subject. [First attested in the mid-16th century.],[],字母表,alphabet,attested | century | first | fundamentals | subject,,no_lexical_support_in_cedict_gloss,review
66,abdication,abdication,noun,C or U,放弃,"The act of abdicating; the renunciation of a high office, dignity, or trust, by its holder. [First attested in the early 17th century.]",[],放弃,abandon | give | renounce,abdicating | abdication | attested | century | dignity | early | first | high | holder | office | renunciation | trust,,no_lexical_support_in_cedict_gloss,review
75,abet,abet,verb,T,帮助,"(transitive) To support, countenance, maintain, uphold, or aid (any good cause, opinion, or action). [late 16th c.]",[],帮助,assist | assistance | help,abet | action | cause | countenance | good | late | maintain | opinion | support | transitive | uphold,,no_lexical_support_in_cedict_gloss,review
76,abeyance,abeyance,noun,C or U,休假,"(legal) Expectancy; a condition when an ownership of real property is undetermined; lapse in succession of ownership of estate, or title. [Late 16th century]",[],休假,holiday | leave | take | vacation,abeyance | century | condition | estate | expectancy | lapse | late | legal | ownership | property | real | succession | title | undetermined,,no_lexical_support_in_cedict_gloss,review
90,abide by,abide by,verb,T,提交,(transitive) To accept (a decision or law) and act in accordance with it; to conform to (a decision or law); to acquiesce to (a decision or law).,[],提交,problem | refer | report | submit,abide | accept | accordance | acquiesce | conform | decision | transitive,,no_lexical_support_in_cedict_gloss,review
94,ability,ability,noun,C or U,人才,The quality or state of being able; capacity to do or of doing something; having the necessary power. [First attested from around (1350 to 1470).],[],人才,attractive | looks | person | talent | talented,ability | able | around | attested | capacity | doing | first | having | necessary | power | quality | state,,no_lexical_support_in_cedict_gloss,review
98,abject,abject,adjective,,卑鄙,"Of a person: cast down in hope or spirit; showing utter helplessness, hopelessness, or resignation; also, grovelling; ingratiating; servile. [from mid 14th c.]",[],卑鄙,base | contemptible | despicable | mean,abject | cast | down | grovelling | helplessness | hope | hopelessness | ingratiating | person | resignation | servile | showing | spirit | utter,,no_lexical_support_in_cedict_gloss,review
106,ablation,ablation,noun,C or U,切除,(obsolete) A carrying or taking away; removal. [First attested around 1350 to 1470.],[],切除,excise | tumor,ablation | around | attested | away | carrying | first | obsolete | removal | taking,,no_lexical_support_in_cedict_gloss,review
117,abolish,abolish,verb,T,取消,"To end a law, system, institution, custom or practice. [First attested from around 1350 to 1470.]",[],取消,call | cancel | rescind | revoke,abolish | around | attested | custom | first | institution | practice | system,,no_lexical_support_in_cedict_gloss,review
118,abolishment,abolishment,noun,C or U,取消,The act of abolishing; abolition; destruction. [First attested from the mid 16th century.],[],取消,call | cancel | rescind | revoke,abolishing | abolishment | abolition | attested | century | destruction | first,,no_lexical_support_in_cedict_gloss,review
121,abominably,abominably,adverb,,可恨,In an abominable manner; very odiously; detestably. [First attested around 1350 to 1470.],[],可恨,hateful,abominable | abominably | around | attested | detestably | first | manner | odiously,,no_lexical_support_in_cedict_gloss,review
124,aborigine,aborigine,noun,C or U,土着,A native inhabitant of a country; a member of the original people. [First attested in the early 19th century.],[],土著,aboriginal,aborigine | attested | century | country | early | first | inhabitant | member | native | original | people,,no_lexical_support_in_cedict_gloss,review
125,abort,abort,noun,C,堕胎,"(military, aeronautics) An early termination of a mission, action, or procedure in relation to missiles or spacecraft; the craft making such a mission.",[],堕胎,abortion | induce | induced,abort | action | aeronautics | craft | early | making | military | missiles | mission | procedure | relation | spacecraft | termination,,no_lexical_support_in_cedict_gloss,review
128,abort,abort,noun,C,中止,(computing) The function used to abort a process.,[],中止,break | cease | discontinue | stop | suspend,abort | computing | function | process,,no_lexical_support_in_cedict_gloss,review
129,abort,abort,verb,I or T,流产,"(transitive, intransitive) To cause a premature termination of (a fetus); to end a pregnancy before term. [Attested since at least the 19th century.]",[],流產,fail | fall | miscarriage,abort | attested | before | cause | century | fetus | intransitive | least | pregnancy | premature | since | term | termination | transitive,,no_lexical_support_in_cedict_gloss,review
130,abort,abort,verb,T,流产,"(transitive, biology) To cause an organism to develop minimally; to cause rudimentary development to happen; to prevent maturation. [First attested in the mid 19th century.]",[],流產,fail | fall | miscarriage,abort | attested | biology | cause | century | develop | development | first | happen | maturation | minimally | organism | prevent | rudimentary | transitive,,no_lexical_support_in_cedict_gloss,review
131,abort,abort,verb,T,流产,"(transitive, computing) To terminate a process prior to completion.",[],流產,fail | fall | miscarriage,abort | completion | computing | prior | process | terminate | transitive,,no_lexical_support_in_cedict_gloss,review
142,about time,about time,adverb,,终于,Close to the right time.,[],終于,eventually | finally | last,close | right | time,,no_lexical_support_in_cedict_gloss,review
143,about to,about to,phrase,,正要,"(idiomatic, with infinitive verb) Indicates something that will happen very soon; indicates action that is imminent; ready to; went to","[{""english"": ""She was about to leave."", ""chinese"": ""她正要出去。""}]",正要,just | point,action | happen | idiomatic | imminent | indicates | infinitive | ready | soon | verb | went | will,,no_lexical_support_in_cedict_gloss,review
169,abscond,abscond,verb,I,掩藏,"(intransitive) To hide, to be in hiding or concealment.",[],掩藏,concealed | covered | hidden,abscond | concealment | hide | hiding | intransitive,,no_lexical_support_in_cedict_gloss,review
170,absence,absence,noun,U,缺席,A state of being away or withdrawn from a place or from companionship,[],缺席,absent,absence | away | companionship | place | state | withdrawn,,no_lexical_support_in_cedict_gloss,review
171,absence,absence,noun,U,缺席,Lack; deficiency; non-existence. [First attested around 1350 to 1470.],"[{""english"": ""How do you account for your absence?"", ""chinese"": ""你怎麼解釋你缺席的原因？""}]",缺席,absent,absence | around | attested | deficiency | first | lack | non-existence,,no_lexical_support_in_cedict_gloss,review
172,absence,absence,noun,U,缺席,Inattention to things present; abstraction (of mind). [First attested in the early 18th century.],"[{""english"": ""How do you account for your absence?"", ""chinese"": ""你怎麼解釋你缺席的原因？""}]",缺席,absent,absence | abstraction | attested | century | early | first | inattention | mind | present | things,,no_lexical_support_in_cedict_gloss,review
179,absolution,absolution,noun,C or U,赦免,"An absolving, or setting free from guilt, sin, or penalty; forgiveness of an offense. [First attested around 1350 to 1470.]",[],赦免,absolve | exempt | pardon | punishment,absolution | absolving | around | attested | first | forgiveness | free | guilt | offense | penalty | setting,,no_lexical_support_in_cedict_gloss,review
180,absolution,absolution,noun,C or U,赦免,"(civil, _, legal, obsolete) An acquittal, or sentence of a judge declaring an accused person innocent. [First attested in the early 17th century.]",[],赦免,absolve | exempt | pardon | punishment,absolution | accused | acquittal | attested | century | civil | declaring | early | first | innocent | judge | legal | obsolete | person | sentence,,no_lexical_support_in_cedict_gloss,review
185,absorption,absorption,noun,C or U,吸收,"The act or process of absorbing or of being absorbed as,",[],吸收,absorb | assimilate | ingest | recruit,absorbed | absorbing | absorption | process,,no_lexical_support_in_cedict_gloss,review
186,absorption,absorption,noun,C or U,集中,Entire engrossment or occupation of the mind. [First attested in the mid 19th century.],[],集中,centralize | centralized | concentrate | concentrated | focus | together,absorption | attested | century | engrossment | entire | first | mind | occupation,,no_lexical_support_in_cedict_gloss,review
198,absurdity,absurdity,noun,C,谬论,That which is absurd; an absurd action; a logical contradiction. [First attested in the late 15th century.],[],谬论,fallacy | misconception,absurd | absurdity | action | attested | century | contradiction | first | late | logical,,no_lexical_support_in_cedict_gloss,review
199,absurdity,absurdity,noun,C or U,谬论,"The quality of being absurd or inconsistent with obvious truth, reason, or sound judgment. [First attested in the early 16th century.]",[],谬论,fallacy | misconception,absurd | absurdity | attested | century | early | first | inconsistent | judgment | obvious | quality | reason | sound | truth,,no_lexical_support_in_cedict_gloss,review
201,abundance,abundance,noun,C or U,複數,A large quantity; many. [First attested around 1150 to 1350.],[],複數,complex | linguistics | math | number | plural,abundance | around | attested | first | large | many | quantity,,no_lexical_support_in_cedict_gloss,review
202,abundance,abundance,noun,C or U,豐富,An overflowing fullness or ample sufficiency; profusion; copious supply; superfluity; plentifulness. [First attested around 1350 to 1470.],[],豐富,abundant | enrich | plentiful | rich,abundance | ample | around | attested | copious | first | fullness | overflowing | plentifulness | profusion | sufficiency | superfluity | supply,,no_lexical_support_in_cedict_gloss,review
207,abuttal,abuttal,noun,C,国境,"(rare, pluralonly) The butting or boundary of land, particularly at the end; buttals. [First attested in the early 17th century.]",[],國境,border | frontier | national,abuttal | attested | boundary | buttals | butting | century | early | first | land | particularly | pluralonly | rare,,no_lexical_support_in_cedict_gloss,review
208,abysmal,abysmal,adjective,,地下,(figurative) Extremely bad; terrible.,[],地下,covert | subterranean | underground,abysmal | extremely | figurative | terrible,,no_lexical_support_in_cedict_gloss,review
