id,word,normalized_word,part_of_speech,countability,zh_definition,en_definition,examples_json,suggested_chinese,cedict_gloss,match_score,score_margin,source_line,source,license
67353,iron,iron,adjective,,鐵製的,made of iron,"[{""english"": ""They opened the iron gate."", ""chinese"": ""他們打開了鐵製的閘門。""}]",鐵打,made of iron,1.0000,0.4671,112597,CC-CEDICT 2026-06-22,CC BY-SA 4.0
30095,succulent,succulent,noun,C,多肉植物,A succulent plant.,[],多肉植物,succulent (plant),0.9844,0.4363,27500,CC-CEDICT 2026-06-22,CC BY-SA 4.0
29897,strip,strip,noun,C or U,漫画,A comic strip.,[],連環圖,comic strip,0.9792,0.4292,107951,CC-CEDICT 2026-06-22,CC BY-SA 4.0
132,abortion,abortion,noun,C or U,流产,An induced abortion.,[],墮胎,induced abortion,0.9786,0.4202,26720,CC-CEDICT 2026-06-22,CC BY-SA 4.0
14872,heuristic,heuristic,noun,C,启发法,A heuristic method. [from 1860],[],啟發法,heuristic method,0.9551,0.4395,22364,CC-CEDICT 2026-06-22,CC BY-SA 4.0
32381,tussle,tussle,verb,I,吵架,To have a tussle.,[],角逐,to tussle,0.9300,0.5285,99991,CC-CEDICT 2026-06-22,CC BY-SA 4.0
1832,aries,aries,noun,C,白羊座,Someone with an Aries star sign.,[],白羊,Aries (star sign),0.9130,0.6029,76638,CC-CEDICT 2026-06-22,CC BY-SA 4.0
17690,laurel,laurel,noun,C or U,月桂花环,A crown of laurel.,[],月桂冠,laurel crown,0.8707,0.3653,54794,CC-CEDICT 2026-06-22,CC BY-SA 4.0
21657,okinawa,okinawa,proper noun,,冲绳,A prefecture and island group of Japan.,"[{""english"": ""The minimum wage in Okinawa is 642 yen per hour."", ""chinese"": ""冲绳的最低时薪是每小时642日元。""}]",沖繩,Okinawa (prefecture and island group in Japan),0.8445,0.5681,63270,CC-CEDICT 2026-06-22,CC BY-SA 4.0
24988,quebec,quebec,proper noun,,魁北克,"The capital city of the province of Quebec, Canada.",[],魁北克市,"Quebec city, capital of Quebec province of Canada",0.7951,0.2933,122197,CC-CEDICT 2026-06-22,CC BY-SA 4.0
12826,fukuoka,fukuoka,proper noun,,福冈市,"The capital city of Fukuoka Prefecture, Japan.",[],福岡,"Fukuoka (city in Japan, capital of Fukuoka prefecture)",0.7882,0.2441,80798,CC-CEDICT 2026-06-22,CC BY-SA 4.0
67257,quiet,quiet,adjective,,安靜的,making little or no noise,"[{""english"": ""Please be quiet."", ""chinese"": ""請保持安靜。""}]",悄悄,quiet; making little or no noise,0.7857,0.6927,42027,CC-CEDICT 2026-06-22,CC BY-SA 4.0
12701,friesland,friesland,proper noun,,弗里斯兰省,A province of the Netherlands.,[],弗里斯蘭,"Friesland, province of the Netherlands",0.7822,0.7822,39181,CC-CEDICT 2026-06-22,CC BY-SA 4.0
27417,senate,senate,proper noun,,参议院,(US) The United States Senate.,[],美國參議院,United States Senate,0.7753,0.4969,87806,CC-CEDICT 2026-06-22,CC BY-SA 4.0
